method,time,watercut,recovery,mass,budget_mass,raw_mass,boundary_water_net_outflow,water_inflow_rate,water_outflow_rate,pore_volumes_injected,mass_balance_absolute_residual,mass_balance_relative_residual,cumulative_budget_residual,min_s,max_s,raw_min_s_before_limiter,raw_max_s_before_limiter,raw_below_lower_bound_before_limiter,raw_above_upper_bound_before_limiter,picard_iterations,picard_converged,limiter_mass_residual
Classic-DDPNM-1,0.6,5.498664296606144e-17,0.009994373186433633,0.19679018157612865,0.19679018157612904,0.19679018157612868,-0.012607929997313243,0.01260792999731324,7.279563131862826e-19,0.007995498549147183,-4.380176776841438e-17,3.474144270926994e-14,-3.885780586188048e-16,0.2,0.782947509798901,0.18410454380046185,0.9192467743238277,1326,13,6,False,0.0
Classic-DDPNM-1,0.7,6.335193447713815e-17,0.011660102050839274,0.19805097457585996,0.19805097457586038,0.19805097457585996,-0.012607929997313243,0.01260792999731324,8.167318064893559e-19,0.009328081640671714,-1.6046192152785466e-17,1.272706317072265e-14,-4.163336342344337e-16,0.2,0.7907353548967933,0.18697886853998288,0.9267239785667727,1212,20,6,False,0.0
Classic-DDPNM-1,0.7999999999999999,7.261382070368344e-17,0.013325830915244917,0.19931176757559127,0.19931176757559171,0.19931176757559127,-0.012607929997313241,0.01260792999731324,9.225494891318373e-19,0.010660664732196245,-1.5829351718288365e-17,1.2555075830577748e-14,-4.440892098500626e-16,0.2,0.7950684247993959,0.1877204982252162,0.9307868175444056,1124,24,6,False,-5.551115123125783e-17
Classic-DDPNM-1,0.8999999999999999,8.556735099887162e-17,0.014991559779650523,0.20057256057532255,0.20057256057532305,0.2005725605753226,-0.012607929997313241,0.01260792999731324,1.078829112684976e-18,0.011993247823720776,-4.358492733391728e-17,3.4569455369125033e-14,-4.996003610813204e-16,0.2,0.7973505045454604,0.18839607942929398,0.9316685788006889,1052,30,6,False,2.7755575615628914e-17
Classic-DDPNM-1,0.9999999999999999,1.0334902613941934e-16,0.01665728864405631,0.20183335357505397,0.20183335357505439,0.2018333535750539,-0.012607929997313241,0.01260792999731324,1.291918858566244e-18,0.013325830915245307,9.519295074422729e-17,7.550244232360568e-14,-4.163336342344337e-16,0.2,0.799910717750311,0.18788294724508262,0.9302318789490789,1000,38,6,False,-5.551115123125783e-17
Classic-DDPNM-1,1.0999999999999999,8.488620817304185e-08,0.018323017508461808,0.20309414657478517,0.20309414657478572,0.20309414657478522,-0.012607929997313241,0.01260792999731324,1.5394471827820317e-18,0.014658414006769838,-1.2685165418080402e-16,1.0061259398476688e-13,-5.551115123125783e-16,0.20007816714689147,0.8,0.18736071527567608,0.9284693110952065,923,46,6,False,2.7755575615628914e-17
Classic-DDPNM-1,1.2,4.845231348894608e-07,0.01998874623271978,0.20435493946843847,0.20435493946843894,0.2043549394684384,-0.012607928936532134,0.01260792999731324,1.060781108910395e-09,0.01599099709829437,8.738669510233166e-17,6.931089224685203e-14,-4.718447854656915e-16,0.2001085663204276,0.8,0.1869042005358365,0.923529620443444,181,53,6,False,0.0
Classic-DDPNM-1,1.3,1.34725798807055e-06,0.021654474297205364,0.20561573186270893,0.20561573186270937,0.20561573186270893,-0.012607923942704392,0.01260792999731324,6.05460885010369e-09,0.0173235801898189,2.0816681711721685e-17,1.651077672506767e-14,-4.440892098500626e-16,0.2001246170280593,0.8,0.18639327490134106,0.9199605289888101,171,59,6,False,0.0
Classic-DDPNM-1,1.4000000000000001,2.7737757653573735e-06,0.023320200937464203,0.20687652317897975,0.2068765231789802,0.20687652317897975,-0.012607913162708283,0.01260792999731324,1.6834604959667432e-08,0.018656163281343428,-2.168404344971009e-18,1.7198711050093343e-15,-4.440892098500626e-16,0.20013535591014706,0.8,0.18588340520694713,0.9174484794911292,155,64,6,False,0.0
Classic-DDPNM-1,1.5000000000000002,4.790605276731781e-06,0.024985925222950487,0.20813731271291924,0.20813731271291966,0.2081373127129192,-0.012607895339394598,0.01260792999731324,3.4657918645099127e-08,0.019988746372867957,2.8189256484623115e-17,2.2358292758161815e-14,-4.163336342344337e-16,0.2001403097988969,0.8,0.18540704166814095,0.9152492163077217,145,71,6,False,-5.551115123125783e-17
Classic-DDPNM-1,1.6000000000000003,7.991920200801854e-06,0.026651646179472424,0.20939809972715998,0.20939809972716042,0.20939809972716,-0.012607870142407543,0.01260792999731324,5.985490570029094e-08,0.021321329464392486,-2.1467203015212988e-17,1.7026665841926318e-14,-4.440892098500626e-16,0.20017110830091372,0.8,0.18497323528249815,0.9133547451218675,142,80,6,False,2.7755575615628914e-17
Classic-DDPNM-1,1.7000000000000004,1.279654544284076e-05,0.028317361852367905,0.2106588827422149,0.21065888274221536,0.2106588827422149,-0.012607830150549426,0.01260792999731324,9.984676381754375e-08,0.022653912555917016,-2.5587171270657905e-17,2.029434541882698e-14,-4.718447854656915e-16,0.20020109137753359,0.8,0.18460251861153804,0.9116749688626906,127,84,6,False,2.7755575615628914e-17
Classic-DDPNM-1,1.8000000000000005,1.8825738784972987e-05,0.02998306959623364,0.21191965975577376,0.21191965975577423,0.21191965975577376,-0.012607770135588768,0.01260792999731324,1.5986172447482183e-07,0.023986495647441545,-9.974659986866641e-18,7.911317335446034e-15,-4.718447854656915e-16,0.20020414204356218,0.8,0.18425555343548755,0.9101329505122183,129,84,6,False,0.0
Classic-DDPNM-1,1.9000000000000006,2.6086297551530355e-05,0.0316487673912426,0.21318042923902608,0.21318042923902653,0.21318042923902608,-0.012607694832523029,0.01260792999731324,2.3516479021477667e-07,0.025319078738966074,1.9081958235744878e-17,1.5134603640107603e-14,-4.440892098500626e-16,0.20020601798753024,0.8,0.18389734256773727,0.9086771360255479,126,89,6,False,0.0
Classic-DDPNM-1,2.0000000000000004,3.4533861660227865e-05,0.03331445320679498,0.2144411896550074,0.21444118965500783,0.2144411896550074,-0.012607604159813119,0.01260792999731324,3.258375001229803e-07,0.026651661830490603,2.0383000842727483e-17,1.6166392171744197e-14,-4.163336342344337e-16,0.20020616705720315,0.8,0.18354707169741405,0.9083117749803267,130,92,6,False,0.0
Classic-DDPNM-1,2.1000000000000005,4.512535076401368e-05,0.03498012508591005,0.21570193952247574,0.21570193952247613,0.21570193952247568,-0.012607498674683037,0.01260792999731324,4.313226302061434e-07,0.027984244922015133,2.1033522146218786e-17,1.668220128887703e-14,-3.885780586188048e-16,0.2002254392236108,0.8,0.18319678672465267,0.909543405646301,124,100,6,True,-5.551115123125783e-17
Classic-DDPNM-1,2.2000000000000006,5.8712688959833136e-05,0.03664577949360224,0.21696267616579448,0.21696267616579487,0.21696267616579445,-0.012607366433187401,0.01260792999731324,5.635641258411547e-07,0.029316828013539662,3.686287386450715e-18,2.923654097524064e-15,-3.885780586188048e-16,0.20025326645672187,0.8,0.18285731437371788,0.9107060641673571,119,105,6,True,0.0
Classic-DDPNM-1,2.3000000000000007,7.489170761095536e-05,0.03831141149080279,0.21822339584657413,0.2182233958465745,0.2182233958465741,-0.01260719680779627,0.01260792999731324,7.33189516971796e-07,0.03064941110506419,2.1250362580715887e-17,1.685377923562266e-14,-3.608224830031759e-16,0.20026581540249855,0.8,0.18250744736329194,0.911755720921888,124,110,6,True,-2.7755575615628914e-17
Classic-DDPNM-1,2.400000000000001,9.380187837083384e-05,0.039977016806452645,0.21948409533204286,0.21948409533204327,0.2194840953320429,-0.012606994854687924,0.01260792999731324,9.351426253175189e-07,0.031981994196588724,-6.765421556309548e-17,5.3656070401451803e-14,-4.163336342344337e-16,0.2002764740754591,0.8,0.18211446591529837,0.9126652352229648,122,115,6,True,2.7755575615628914e-17
Classic-DDPNM-1,2.500000000000001,0.00011562933988656318,0.041642590940801714,0.22074477121633218,0.22074477121633262,0.2207447712163322,-0.012606758842893534,0.01260792999731324,1.1711544197089842e-06,0.033314577288113253,-2.8406096919120216e-17,2.2528248903147378e-14,-4.440892098500626e-16,0.20028642569265218,0.8,0.18168567277943118,0.9134229727101283,125,118,6,True,2.7755575615628914e-17
Classic-DDPNM-1,2.600000000000001,0.00014031284225771395,0.04330812908859441,0.22200541986233602,0.2220054198623365,0.22200541986233607,-0.012606486460038755,0.01260792999731324,1.4435372744881863e-06,0.03464716037963778,-3.881443777498106e-17,3.078220949558865e-14,-4.718447854656915e-16,0.20029305362293404,0.8,0.1812233180221814,0.9140316452752985,125,122,6,True,0.0
Classic-DDPNM-1,2.700000000000001,0.0001675153772297472,0.04497362654699454,0.22326603771046968,0.22326603771047016,0.2232660377104697,-0.01260617848133669,0.01260792999731324,1.7515159765517914e-06,0.03597974347116231,-3.0357660829594124e-18,2.407488309486572e-15,-4.718447854656915e-16,0.20029459849825076,0.8,0.1807270266618059,0.9145043463648818,126,123,6,True,0.0
Classic-DDPNM-1,2.800000000000001,0.00019709262534087728,0.0466390791699493,0.22452662162257878,0.22452662162257928,0.22452662162257878,-0.012605839121091117,0.01260792999731324,2.090876222125412e-06,0.03731232656268684,-1.951563910473908e-17,1.547629405253129e-14,-4.996003610813204e-16,0.2002944803418778,0.8,0.18020429386367745,0.9148601882796958,124,125,6,True,-2.7755575615628914e-17
Classic-DDPNM-1,2.9000000000000012,0.00022981087924019036,0.04830448305030906,0.22578716864133513,0.22578716864133563,0.22578716864133513,-0.012605470187563559,0.01260792999731324,2.4598097496836867e-06,0.03864490965421137,2.3852447794681098e-18,1.8914917111699146e-15,-4.996003610813204e-16,0.20030120076663688,0.8,0.17967087955734368,0.9151205531137833,122,126,6,True,0.0
Classic-DDPNM-1,3.0,0.00026422959518990116,0.04996983301938637,0.22704767485455046,0.22704767485455093,0.22704767485455046,-0.012605062132153275,0.01260792999731324,2.867865159968706e-06,0.039977492745735886,1.713039432527097e-17,1.3583910004812019e-14,-4.718447854656915e-16,0.20029482473910906,0.8,0.1791491011784899,0.9153065015068343,121,129,6,True,5.551115123125783e-17
NormalLinear-DDPNM-3,0.0,0.0,7.333997485867926e-17,0.18922542357774103,0.18922542357774103,0.18922542357774103,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.2,0.2,0,0,0,True,0.0
NormalLinear-DDPNM-3,0.1,1.2984185774829074e-18,0.0011023700144811724,0.19005980930945937,0.1900598093094594,0.19005980930945937,-0.008343857317183756,0.00834385731718375,3.638206950888132e-20,0.0008818960115849104,-3.003240017784847e-17,3.5993424906725416e-14,-2.7755575615628914e-17,0.2,0.5261523329470313,0.14742607181560394,1.2341964739431246,1668,1,6,False,-2.7755575615628914e-17
NormalLinear-DDPNM-3,0.2,5.196951503870273e-18,0.002204740028962308,0.19089419504117774,0.19089419504117777,0.19089419504117772,-0.008343857317183756,0.00834385731718375,8.177588450595501e-20,0.0017637920231698208,-2.2768245622195593e-18,2.7287434044809883e-15,-2.7755575615628914e-17,0.2,0.6358274229682843,0.1629424466700557,0.8981509080611848,1660,1,6,False,0.0
NormalLinear-DDPNM-3,0.30000000000000004,1.1610662353215659e-17,0.0033071100434434435,0.19172858077289612,0.19172858077289615,0.19172858077289612,-0.008343857317183756,0.00834385731718375,1.4282978080729525e-19,0.0026456880347547314,-2.2768245622195593e-18,2.7287434044809883e-15,-2.7755575615628914e-17,0.2,0.6930177391952909,0.17168803756136605,0.8918398122999416,1649,1,6,False,-5.551115123125783e-17
NormalLinear-DDPNM-3,0.4,2.017965637508281e-17,0.004409480057924652,0.19256296650461455,0.19256296650461452,0.19256296650461452,-0.008343857317183756,0.00834385731718375,2.167652441208748e-19,0.0035275840463396416,5.323432666903827e-17,6.380061960000375e-14,2.7755575615628914e-17,0.2,0.7276166585419771,0.17545864629812066,0.9586500344049053,1630,1,6,False,-5.551115123125783e-17
NormalLinear-DDPNM-3,0.5,3.0287070800393773e-17,0.005511850072405788,0.19339735223633292,0.1933973522363329,0.19339735223633292,-0.008343857317183756,0.00834385731718375,2.9929773745703097e-19,0.004409480057924552,-2.2768245622195593e-18,2.7287434044809883e-15,2.7755575615628914e-17,0.2,0.7500915152220307,0.17942226060261057,0.965491206269203,1603,1,6,False,0.0
NormalLinear-DDPNM-3,0.6,4.109858101063367e-17,0.006614220086886887,0.19423173796805127,0.19423173796805127,0.19423173796805127,-0.008343857317183756,0.00834385731718375,3.8490831819201773e-19,0.005291376069509462,-3.003240017784847e-17,3.5993424906725416e-14,0.0,0.2,0.7650578727507628,0.1834176720570881,0.951926384527275,1559,2,6,False,0.0
NormalLinear-DDPNM-3,0.7,5.1753782684292224e-17,0.007716590101368023,0.19506612369976964,0.19506612369976964,0.19506612369976967,-0.008343857317183756,0.00834385731718375,4.672755621739536e-19,0.006173272081094372,-2.2768245622195593e-18,2.7287434044809883e-15,0.0,0.2,0.7754964946729933,0.18541280784092906,0.9197504151530388,1493,4,6,False,5.551115123125783e-17
NormalLinear-DDPNM-3,0.7999999999999999,6.149358365380936e-17,0.008818960115849086,0.19590050943148796,0.195900509431488,0.195900509431488,-0.008343857317183756,0.00834385731718375,5.4093279411600395e-19,0.007055168092679282,-5.778797579347739e-17,6.925810640896985e-14,-5.551115123125783e-17,0.2,0.7830440912493434,0.18728272058467035,0.8742290353116167,1412,7,6,False,2.7755575615628914e-17
NormalLinear-DDPNM-3,0.8999999999999999,6.967112090241796e-17,0.009921330130330185,0.1967348951632063,0.19673489516320639,0.19673489516320636,-0.008343857317183756,0.00834385731718375,6.02324644810385e-19,0.007937064104264193,-3.003240017784847e-17,3.5993424906725416e-14,-8.326672684688674e-17,0.2,0.7881244043136677,0.18898021844271498,0.8732138962141043,1261,9,6,True,-5.551115123125783e-17
NormalLinear-DDPNM-3,0.9999999999999999,7.637980051297431e-17,0.01102370014481143,0.19756928089492476,0.19756928089492476,0.1975692808949248,-0.008343857317183756,0.00834385731718375,6.52921546026502e-19,0.008818960115849104,8.098990228466718e-17,9.70653011022428e-14,0.0,0.2,0.7914483811323456,0.19047778058066214,0.8752988550335987,1176,10,6,False,-2.7755575615628914e-17
NormalLinear-DDPNM-3,1.0999999999999999,8.28467127493874e-17,0.012126070159292603,0.19840366662664316,0.19840366662664313,0.19840366662664316,-0.008343857317183756,0.00834385731718375,7.022548740343658e-19,0.009700856127434014,2.5478751053409354e-17,3.0535938097762485e-14,2.7755575615628914e-17,0.2,0.7939478244873808,0.19160172546106316,0.8759489478423986,1108,13,6,False,2.7755575615628914e-17
NormalLinear-DDPNM-3,1.2,9.079708132262316e-17,0.013228440173773628,0.19923805235836145,0.1992380523583615,0.1992380523583615,-0.008343857317183756,0.00834385731718375,7.655946599266829e-19,0.010582752139018924,-8.55435514091063e-17,1.0252278791121428e-13,-5.551115123125783e-17,0.2,0.7955173113636228,0.1921284198909885,0.8759511553572394,1063,14,6,False,-2.7755575615628914e-17
NormalLinear-DDPNM-3,1.3,1.0198199915584274e-16,0.014330810188254836,0.20007243809007988,0.20007243809007988,0.2000724380900799,-0.008343857317183756,0.00834385731718375,8.57618846630515e-19,0.011464648150603834,5.323432666903827e-17,6.380061960000375e-14,0.0,0.2,0.7963103920694932,0.1924911934528411,0.875098526268593,1021,18,6,False,5.551115123125783e-17
NormalLinear-DDPNM-3,1.4000000000000001,1.1801845318105158e-16,0.015433180202735973,0.20090682382179825,0.20090682382179825,0.20090682382179825,-0.008343857317183755,0.00834385731718375,9.884678102023479e-19,0.012346544162188744,-2.168404344971009e-18,2.598803242362846e-15,0.0,0.2,0.797518762277095,0.19285266279566496,0.8734710468713531,996,23,6,False,0.0
