arm,steps,converged,wall_seconds,flow_offline_seconds,flow_seconds,transport_seconds,flow_solves,newton_iterations,sfi_iterations,outlet_flux,mass,free_energy,phi_min,phi_max,flow_global_unknowns,max_flow_linear_residual,flow_stabilization,phi_l2_error_vs_fem,velocity_l2_error_vs_fem,geometry,dt,method,coupling,worst_phi_min,total_with_flow_offline_seconds,online_wall_speedup_vs_fem,online_flow_speedup_vs_fem,outlet_flux_relative_error_vs_fem
Affine-SFI,12,True,57.727968999999575,50.882851500064135,12.767297900049016,44.765135800116695,26,38,26,0.0015658865312875732,-0.849452150110288,0.004490077127843018,-1.3425157587597067,1.0,1026,6.461828381998957e-15,none,0.002133986302147008,0.05586306253325647,random27,0.5,Affine,SFI,-1.4130127843270441,108.61082050006371,7.017687829966715,28.146048836112097,0.028418644260921333
FEM-frozen,6,True,67.89801000000443,1.5575559999560937,35.288633400108665,32.537071700091474,1,11,0,0.00026186469829114886,-0.8060968346264307,0.004007913906422833,-1.4415199737000755,1.0,234810,3.531304024444405e-07,none,0.0,0.0,bentheimer,1.0,FEM,frozen,-1.5155108784458247,69.45556599996053,1.0,1.0,0.0
FEM-SFI,6,True,453.606865299982,1.5575559999560937,404.2615402000956,48.934927100199275,12,17,12,0.00026460238467570564,-0.8060849635456252,0.004007371637210469,-1.4414395632873562,1.0,234810,3.531304024444405e-07,none,0.0,0.0,bentheimer,1.0,FEM,SFI,-1.5155125126094604,455.1644212999381,1.0,1.0,0.0
Classic-frozen,6,True,31.58106300001964,46.970904399990104,0.5502444999292493,31.003537100041285,1,11,0,0.0005783584756954165,-0.805156864201251,0.0039708432847232085,-1.440780509006045,1.0,83,1.1204756379563213e-15,none,0.0064635690084629705,0.7871494402476784,bentheimer,1.0,Classic,frozen,-1.5154948294993726,78.55196740000974,2.1499596134545,64.13264177042404,1.2086156685861513
Classic-SFI,6,True,56.282546899979934,46.970904399990104,5.318004400236532,50.900211800122634,13,18,13,0.0005848927001373058,-0.8051369368595089,0.003970059045046037,-1.4406958046157499,1.0,83,1.242105170876272e-15,none,0.006521863469230854,0.788351436792899,bentheimer,1.0,Classic,SFI,-1.5154967428064723,103.25345129997004,8.059458753813853,76.01752645825472,1.210458915002392
Affine-frozen,6,True,31.96889120002743,72.9086004999699,0.7575551000190899,31.197224599891342,1,11,0,0.0002910881867168688,-0.8059277735318123,0.003999676588790075,-1.4410974001520986,1.0,720,8.618018365666738e-16,"scaled-POD tol=1e-08, retained=720/747, full-space residual before=7.886e+00, discarded-direction residual=3.441e-15",0.0013366932527035054,0.18741623480306724,bentheimer,1.0,Affine,frozen,-1.5154038843521387,104.87749169999734,2.1238775400488765,46.58226629220688,0.11159766328345788
Affine-SFI,6,True,56.10368699999526,72.9086004999699,8.231775899999775,47.77336550003383,12,17,12,0.00029421159094372706,-0.8059141763494557,0.003999060631156394,-1.4410143679160183,1.0,720,9.359363764351238e-16,"scaled-POD tol=1e-08, retained=720/747, full-space residual before=2.472e+01, discarded-direction residual=5.044e-15",0.001350622509439981,0.1875931987051689,bentheimer,1.0,Affine,SFI,-1.5154051954640197,129.01228749996517,8.085152501653239,49.10988164778716,0.11190075366973806
FEM-frozen,12,True,80.59274140000343,1.5899444998940453,34.94460060005076,45.579214099794626,1,16,0,0.00026186469829114886,-0.8057909328261051,0.0040141255706558744,-1.4485539185704868,1.0,234810,3.531304024444405e-07,none,0.0,0.0,bentheimer,0.5,FEM,frozen,-1.5481402467998449,82.18268589989748,1.0,1.0,0.0
FEM-SFI,12,True,852.7481033999939,1.5899444998940453,773.7999429999618,78.18752609973308,24,28,24,0.00026464424775343915,-0.8057790476667581,0.004013612115409234,-1.4485145920076972,1.0,234810,3.7271754995677583e-07,none,0.0,0.0,bentheimer,0.5,FEM,SFI,-1.5481607948631257,854.3380478998879,1.0,1.0,0.0
Classic-frozen,12,True,40.64460150001105,46.847437000018544,0.5330344999674708,40.08473090012558,1,16,0,0.0005783584756954165,-0.8048409309519141,0.003978467927350811,-1.4478077228353405,1.0,83,1.1204756379563213e-15,none,0.006585958044149162,0.7871494402476784,bentheimer,0.5,Classic,frozen,-1.5481730681758188,87.4920385000296,1.9828645976509702,65.55785901697415,1.2086156685861513
Classic-SFI,12,True,80.070324899978,46.847437000018544,9.303645899752155,70.69438460015226,24,28,24,0.0005849919407874168,-0.8048211487030252,0.003977743750340401,-1.44776519170471,1.0,83,1.3011248239056808e-15,none,0.006643917988979534,0.7883684980245504,bentheimer,0.5,Classic,SFI,-1.548194042384424,126.91776189999655,10.649989299596662,83.17168896341761,1.2104842472617645
Affine-frozen,12,True,40.93533320003189,72.62009389989544,0.7480263999896124,40.173350599827245,1,16,0,0.0002910881867168688,-0.8056217653482342,0.004006179459922822,-1.448115654017951,1.0,720,8.618018365666738e-16,"scaled-POD tol=1e-08, retained=720/747, full-space residual before=7.886e+00, discarded-direction residual=3.441e-15",0.001354871132675061,0.18741623480306724,bentheimer,0.5,Affine,frozen,-1.548042656590249,113.55542709992733,1.9687818590894148,46.71573169146975,0.11159766328345788
Affine-SFI,12,True,85.9151203999063,72.62009389989544,15.592277100193314,70.15931369969621,24,28,24,0.00029425886253326274,-0.8056082031096261,0.004005598713220426,-1.448073973764945,1.0,720,8.813686174249031e-16,"scaled-POD tol=1e-08, retained=720/747, full-space residual before=4.167e+00, discarded-direction residual=4.096e-15",0.0013686418918246546,0.18759462562697865,bentheimer,0.5,Affine,SFI,-1.5480629938452215,158.53521429980174,9.925471784602468,49.62712873993037,0.11190348942484696
