interface_id,pore_i,pore_j,center_x,center_y,center_z,normal_x,normal_y,normal_z,area,constant_normal_traction,flux_balance_residual,mesh_triangles
33,12,13,0.08490295587512632,0.9150970441248736,0.19999999999999998,0.04662168617265186,-0.04662168617265202,0.9978240510013964,0.031482719095692786,0.9703973167696484,1.0842021724855044e-17,39
34,12,28,0.2,0.9150971269858926,0.08490301598753239,0.9978240510013966,-0.04662168617265203,0.04662168617265187,0.031482719136723465,0.8195662421925362,-2.4936649967166602e-18,39
35,13,14,0.08490295587512633,0.9150970441248739,0.5,0.0,0.0,1.0,0.031482719095692786,0.9733269901237763,-1.8106176280507924e-17,39
36,13,29,0.19999999999999993,0.9221246949998892,0.3499999999999999,0.9965790046487872,-0.08264555337846408,0.0,0.042965438273447,0.8227327450142912,-9.513874063560301e-18,54
37,14,15,0.08490295587512632,0.9150970441248735,0.7999999999999998,-0.04662168617265186,0.04662168617265202,0.9978240510013964,0.03148271909569279,0.9705382442202881,-5.963111948670274e-19,39
38,14,30,0.19999999999999996,0.9221246949998895,0.6499999999999997,0.9965790046487872,-0.08264555337846408,0.0,0.04296543827344695,0.822668530632454,-6.423897871976614e-18,54
39,15,31,0.19999999999999993,0.9150971269858923,0.9150969840124674,0.9978240510013966,-0.04662168617265203,-0.04662168617265203,0.03148271913672351,0.8187037097428291,1.1140177322288558e-17,39
40,16,17,0.34999999999999987,0.07787542641871757,0.19999999999999998,0.0,0.08264555337846424,0.9965790046487872,0.04296543819138561,0.6617348162433591,2.2638755460384092e-17,54
41,16,20,0.3499999999999999,0.19999999999999996,0.077875514526295,0.0,0.9965790046487872,0.08264555337846424,0.04296543827344696,0.6623540147772554,-2.6777358440668603e-17,54
42,16,32,0.5,0.08490287301410757,0.08490301598753239,1.0,0.0,0.0,0.03148271913672347,0.4998509145975923,2.859583229930518e-18,39
43,17,18,0.35000000000000003,0.07787542641871757,0.5,0.0,0.0,1.0,0.0429654381913856,0.662903948184092,2.107709140344318e-18,54
44,17,21,0.35,0.20000000000000004,0.3500000000000001,0.0,1.0,0.0,0.055930876546893965,0.6638862846135979,1.1030486555619126e-17,74
45,17,33,0.5,0.0778753050001103,0.3499999999999997,1.0,0.0,0.0,0.04296543827344702,0.500192012677343,-2.7050844203513336e-17,54
46,18,19,0.35,0.07787542641871757,0.7999999999999999,0.0,-0.08264555337846424,0.9965790046487872,0.04296543819138561,0.6614526434284799,-1.1986892632187638e-17,54
47,18,22,0.3500000000000001,0.2,0.6500000000000001,0.0,1.0,0.0,0.05593087654689393,0.663040190258382,6.186241602800738e-17,74
48,18,34,0.5,0.07787530500011032,0.65,1.0,0.0,0.0,0.042965438273446975,0.5005794387300877,5.204170427930421e-18,54
49,19,23,0.3499999999999998,0.19999999999999993,0.9221244854737044,0.0,0.9965790046487872,-0.08264555337846408,0.04296543827344697,0.6615907627219633,7.878253442412247e-18,54
50,19,35,0.5,0.08490287301410755,0.9150969840124681,1.0,0.0,0.0,0.031482719136723465,0.5000379246158345,6.532318089225164e-18,39
51,20,21,0.35000000000000014,0.35000000000000003,0.19999999999999996,0.0,0.0,1.0,0.05593087638277127,0.663467633167741,-3.6698337714503e-17,74
52,20,24,0.35,0.5,0.07787551452629506,0.0,1.0,0.0,0.042965438273446954,0.6628660546248718,8.884052127717526e-18,54
53,20,36,0.5000000000000001,0.3499999999999997,0.07787551452629497,1.0,0.0,0.0,0.04296543827344696,0.500808902589722,1.021860547567588e-17,54
54,21,22,0.35000000000000003,0.35000000000000003,0.5,0.0,0.0,1.0,0.055930876382771263,0.6640802832956137,9.074772183703672e-17,74
