method,time,outlet_concentration,mass,budget_mass,raw_mass,mass_rate,transport_rate,dirichlet_source_rate,mass_balance_residual_rate,mass_balance_relative_residual,limiter_mass_change_abs,limiter_mass_residual,min_c,max_c,raw_min_c_before_limiter,raw_max_c_before_limiter,raw_below_zero_before_limiter,raw_above_one_before_limiter
FEM,15.200000000000001,0.8699438436110111,857.6989517134731,857.6989517134488,857.698951713473,15.280105671555475,-15.48385438619291,-0.2037487146409144,-6.388466144979787e-14,2.062944401839545e-15,0.4389657192992906,0.0,0.014322076236285404,1.0,0.01335259874914182,1.0107793626801729,0,133
FEM,15.4,0.8715202452320804,860.7103524438878,860.7103524438631,860.7103524438878,15.057003652073604,-15.257560833752287,-0.20055718168046055,-5.1841777398697886e-14,1.698888110739567e-15,0.4320759032407292,2.2737367544323206e-13,0.016519416793484194,1.0,0.015560814977151711,1.0106581650400748,0,133
FEM,15.600000000000001,0.873062024337176,863.6781543097985,863.6781543097736,863.6781543097986,14.839009329554074,-15.036453589470995,-0.19744425991875125,3.5807294629375264e-14,1.1906828434081855e-15,0.4253793346106257,1.1368683772161603e-13,0.018855616076922897,1.0,0.017907767249354636,1.0105391914456645,0,134
FEM,15.8,0.8745668701594931,866.6033614514619,866.6033614514367,866.6033614514621,14.626035708317886,-14.820442841268616,-0.1944071329529104,-2.808430571432652e-14,9.47485375947122e-16,0.41888296884599263,0.0,0.021325424695012453,1.0,0.02038817443859021,1.0104223903332141,0,134
FEM,16.0,0.8760377094049135,869.4869803563813,869.4869803563558,869.4869803563815,14.41809452459836,-14.609537640211517,-0.19144311561610186,-5.720727710989415e-14,1.9578743187748186e-15,0.41248895337753266,0.0,0.02392354023103982,1.0,0.022996937945021393,1.010307711061508,0,134
FEM,16.2,0.8774775888796351,872.3299607125892,872.3299607125632,872.3299607125892,14.214901781039657,-14.403451471488058,-0.18854969045109293,6.789534212625625e-14,2.3569122394257446e-15,0.4061970030476228,0.0,0.02664484658172435,1.0,0.025728929538067262,1.010195106391425,0,134
FEM,16.400000000000002,0.8788878764946829,875.133199910402,875.1331999103755,875.133199910402,14.016195989063931,-14.201920445443843,-0.1857244563822836,-2.2631202467593425e-14,7.96765569647023e-16,0.40018204910188504,1.1368683772161603e-13,0.029484783891079065,1.0,0.028579181574028906,1.010084530146586,0,136
FEM,16.6,0.880269563931133,877.8975293597316,877.8975293597053,877.8975293597321,13.821647246650173,-14.004611757401825,-0.18296451075272907,-9.491886443502295e-14,3.3888431210830266e-15,0.3942071237912614,2.2737367544323206e-13,0.03243838919711895,1.0,0.03154325315364022,1.0099759331349967,0,135
FEM,16.8,0.8816234130172594,880.6237707344825,880.6237707344554,880.6237707344825,13.631206873754422,-13.811474849031462,-0.18026797528089852,4.618787990962048e-14,1.672083554235809e-15,0.38832143381603207,-1.1368683772161603e-13,0.03550093540332503,1.0,0.03461629513826302,1.009869272781063,0,135
FEM,17.0,0.882950160239999,883.3127299326579,883.3127299326303,883.3127299326579,13.444795990877196,-13.622429380528317,-0.17763338965376727,-9.202317727274867e-14,3.3776345871271752e-15,0.38252649242326775,1.1368683772161603e-13,0.03758279500216431,1.0,0.036707679200308235,1.0097645063597511,0,135
FEM,17.2,0.8842506624526955,885.9651887573518,885.9651887573239,885.9651887573518,13.262294123469474,-13.437352686999109,-0.17505856353141738,1.6327651036762703e-14,6.075471641285016e-16,0.3768253837258717,-1.1368683772161603e-13,0.03793507611534522,1.0,0.03706785052943198,1.0096615921042467,0,135
FEM,17.400000000000002,0.8855258846096823,888.5819034026923,888.5819034026639,888.5819034026924,13.083573226703038,-13.256114744448716,-0.17254151774861493,-2.2299002921943867e-14,8.410836565547829e-16,0.3712185810840093,1.1368683772161603e-13,0.03836344036185759,1.0,0.037504119686828305,1.0095604891515413,0,135
FEM,17.6,0.8867768192052425,891.1636042450212,891.1636042449925,891.1636042450214,12.908504211645209,-13.078584612703956,-0.1700804010612793,-3.495424436006367e-14,1.3363160232991606e-15,0.36570514904701634,1.1368683772161603e-13,0.03886893975334972,1.0,0.03801753570744813,1.0094611575839345,0,135
FEM,17.8,0.8880044187932914,893.7109967083379,893.7109967083086,893.7109967083379,12.736962316583345,-12.904635776362948,-0.16767345978220155,3.687805269492195e-14,1.4288684056649902e-15,0.36028356816325424,-1.1368683772161603e-13,0.03945240824936543,1.0,0.03860893082011411,1.0093635584413903,0,135
FEM,18.0,0.889209564701943,896.2247626682308,896.2247626682007,896.2247626682307,12.56882979946397,-12.734148822962066,-0.16531902350131564,-3.7659111939980505e-14,1.4786662408118429e-15,0.354952134525661,-1.1368683772161603e-13,0.040114472822109996,1.0,0.039278930627342355,1.0092676537144358,0,135
FEM,18.2,0.8903930629479573,898.7055619627711,898.7055619627404,898.7055619627711,12.403996472701238,-12.567011969433015,-0.16301549673480392,-5.448159284826559e-14,2.1676430714308088e-15,0.3497091187374503,0.0,0.0408555649809589,1.0,0.04002796528149886,1.0091734063279367,0,135
FEM,18.400000000000002,0.8915556602359884,901.1540337900901,901.154033790059,901.1540337900901,12.242359136595269,-12.403120489679086,-0.160761353086083,9.319931978946094e-14,3.7570916071889196e-15,0.3445804070687472,1.1368683772161603e-13,0.04167599795880777,1.0,0.04085628098898452,1.0090807801214874,0,137
FEM,18.6,0.8926980471429563,903.5707977436709,903.5707977436396,903.5707977436712,12.083819767905197,-12.242374302602258,-0.15855453469947134,-1.0214919188289429e-14,4.171951835403825e-16,0.3395618537074354,1.1368683772161603e-13,0.04257590763675232,1.0,0.04176401705096304,1.0089897392137628,0,136
FEM,18.8,0.8938208541334782,905.9564549368288,905.956454936797,905.9564549368289,11.928285965789769,-12.084679359486096,-0.15639339369903538,-6.102843924660206e-14,2.525033450667841e-15,0.33459674280027374,0.0,0.043555137306392294,1.0,0.04275114653780805,1.0089002486657805,0,136
FEM,19.0,0.8949246807545462,908.3115897876223,908.31158978759,908.3115897876226,11.775674253968873,-11.929952181588774,-0.15427792762312414,-8.184468727745475e-14,3.43021858058043e-15,0.32970898989924585,2.2737367544323206e-13,0.044613440556649606,1.0,0.04381736078947039,1.008812275622559,0,136
FEM,19.200000000000003,0.8960100940953863,910.6367704581204,910.6367704580874,910.6367704581203,11.625903352489786,-11.778109968096373,-0.15220661560944493,-2.3024117334902172e-14,9.774113757328346e-16,0.32489832813428166,-1.1368683772161603e-13,0.04575043430448689,1.0,0.04496227195164468,1.0087257874859952,0,136
FEM,19.400000000000002,0.8970776322497679,912.932549418229,912.9325494181955,912.932549418229,11.47889480054289,-11.629072893643912,-0.1501780931034028,-2.4142146615169224e-14,1.0380082245576987e-15,0.3201642246124257,-1.1368683772161603e-13,0.0469656083240907,1.0,0.04618536564067133,1.0086407524415373,0,136
FEM,19.6,0.8981278069598388,915.1994640002431,915.1994640002093,915.1994640002433,11.334572910071756,-11.482764014149417,-0.14819110408045977,-4.301637171466588e-14,1.873084375053538e-15,0.3155058220320368,2.2737367544323206e-13,0.04825833422757127,1.0,0.047486010095225274,1.0085571394462305,0,136
